"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt5","gpt-5.5",3,"batch3",13,34.8940000000002,0.0357954395485671,0.00733000623830318,0.1,5.63124073981073e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",13,36.8280000000013,0.0420808685330356,0.0266063630692452,0.0992063492063492,0.000429893323512503,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",13,49.6109999999971,0.00899875233936369,0.00913911416094822,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",13,90.0999999999985,0.0153410272405906,0.0281659388646288,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",13,103.459000000003,0.00897795799542524,0.00907673112913288,0.0178571428571429,0,0,2,FALSE,FALSE
"gpt5","gpt-5.5",10,"loop",13,138.972000000002,0.0415592292229847,0.0234872114784779,0.101190476190476,0,0,1,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",14,53.1160000000018,0.0266375545851528,0.00848409232688709,0.0714285714285714,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",14,38.7390000000014,0.0492631992068402,0.0256394260761073,0.0833333333333333,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",14,58.7030000000013,0.0203505139932653,0.0074235807860262,0.0535714285714286,5.65326223411628e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",14,89.0270000000019,0.0344809610020291,0.0268558951965066,0.076530612244898,5.63755646827163e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"loop",14,85.2799999999988,0.00893636930754835,0.00895196506550218,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",10,"loop",14,136.437000000005,0.0327302973591183,0.0267623206487835,0.0714285714285714,0,0,2,TRUE,FALSE
"gpt5","gpt-5.5",3,"batch3",15,46.9199999999983,0.014918207321712,0.00898315658140986,0.0357142857142857,5.7179669440424e-05,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch3",15,51.5979999999981,0.0470995972303874,0.025951341235184,0.076530612244898,0.0388168382110801,0,0,FALSE,FALSE
"gpt5","gpt-5.5",3,"batch5",15,77.7139999999999,0.0379600748596382,0.00673736743605739,0.107142857142857,0,0,0,FALSE,FALSE
"gpt5","gpt-5.5",10,"batch5",15,101.907999999996,0.02325674083316,0.0281035558328135,0.0416666666666667,0,0,0,FALSE,FALSE
