"backend","model","k","condition","rep","secs","U","S","C","IL1","k_viol","n_refine","early_stop","error"
"gpt41","gpt-4.1",10,"loop",15,18.777,0.0251247660636307,0.0218028696194635,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",16,13.239,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",16,10.6590000000001,0.0111509669369931,0.0155957579538366,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",16,15.308,0.0154242046163444,0.0284154709918902,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",16,13.6129999999998,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",16,26.712,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",16,24.2640000000001,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",16,11.9449999999997,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",16,18.5010000000002,0.0111509669369931,0.0155957579538366,0.0178571428571429,0,0,2,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",16,20.6980000000003,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",17,7.13299999999981,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",17,9.16100000000006,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",17,19.3049999999998,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"batch5",17,11.1750000000002,0.0143480973175296,0.00733000623830318,0.0357142857142857,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch5",17,15.4559999999997,0.0217872738615097,0.0117903930131004,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch5",17,22.1749999999997,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",3,"loop",17,10.8710000000001,0.0199989602828031,0.00642545227698066,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",5,"loop",17,12.5480000000002,0.0157309211894365,0.0114784778540237,0.0357142857142857,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",10,"loop",17,19.9789999999998,0.025415886878769,0.0226762320648784,0.0535714285714286,0,0,1,TRUE,FALSE
"gpt41","gpt-4.1",3,"batch3",18,8.10100000000011,0.0202173008941568,0.0070804741110418,0.0535714285714286,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",5,"batch3",18,8.45899999999983,0.0111509669369931,0.0155957579538366,0.0178571428571429,0,0,0,FALSE,FALSE
"gpt41","gpt-4.1",10,"batch3",18,14.636,0.0206591807028488,0.0262632563942608,0.0357142857142857,0,0,0,FALSE,FALSE
